epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,735.181,0.86164,0.84442,1.12149,0.96414,1,0.995,0.70913,1.16456,0.72733,1.1589,0.000674488,0.000674488,0.000674488
82,743.58,0.86982,0.84327,1.10667,0.96425,1,0.995,0.72633,1.19326,0.72162,1.17805,0.000665057,0.000665057,0.000665057
83,754.12,0.84637,0.80261,1.09505,0.9564,1,0.995,0.7079,1.20047,0.67545,1.19513,0.000655625,0.000655625,0.000655625
84,764.161,0.86961,0.79336,1.11162,0.96154,1,0.995,0.70632,1.18212,0.67516,1.19093,0.000646194,0.000646194,0.000646194
85,774.852,0.94039,0.82691,1.14352,0.98181,1,0.995,0.72843,1.14966,0.70233,1.20512,0.000636762,0.000636762,0.000636762
86,784.002,0.97006,1.14572,1.14411,0.98347,1,0.995,0.71743,1.15218,0.71503,1.21071,0.000627331,0.000627331,0.000627331
87,792.97,0.78413,0.74484,1.04478,0.98661,1,0.995,0.69046,1.22279,0.75674,1.26286,0.0006179,0.0006179,0.0006179
88,801.439,0.80232,0.8012,1.04764,0.98658,1,0.995,0.67229,1.27985,0.77089,1.3185,0.000608468,0.000608468,0.000608468
89,810.426,0.82633,0.75798,1.07255,0.98431,1,0.995,0.68089,1.25519,0.80317,1.33774,0.000599037,0.000599037,0.000599037
90,818.855,0.76134,0.70585,1.01577,0.97758,1,0.995,0.66839,1.20148,0.7881,1.30889,0.000589605,0.000589605,0.000589605
91,828.353,0.8921,0.78808,1.11981,0.95833,0.99629,0.995,0.68849,1.19696,0.7898,1.28532,0.000580174,0.000580174,0.000580174
92,837.559,0.82194,0.80146,1.09411,0.96121,0.96117,0.995,0.6709,1.21014,0.7771,1.29588,0.000570743,0.000570743,0.000570743
93,846.202,0.80875,0.69842,1.03716,0.96269,0.95721,0.995,0.67846,1.20059,0.73659,1.30514,0.000561311,0.000561311,0.000561311
94,854.91,0.87613,0.86017,1.11821,0.96624,0.95667,0.995,0.66064,1.18946,0.73293,1.30464,0.00055188,0.00055188,0.00055188
95,863.604,0.83393,0.71205,1.08073,0.95471,0.98353,0.995,0.66894,1.1697,0.7204,1.26112,0.000542448,0.000542448,0.000542448
96,872.244,0.78851,0.71705,1.0515,0.96562,0.99536,0.995,0.67465,1.13148,0.68973,1.21835,0.000533017,0.000533017,0.000533017
97,881.25,0.70744,0.64523,1.00294,0.97702,0.99997,0.995,0.66177,1.16689,0.68435,1.23746,0.000523586,0.000523586,0.000523586
98,889.665,0.75936,0.68636,1.04052,0.98341,1,0.995,0.66975,1.18867,0.67105,1.26419,0.000514154,0.000514154,0.000514154
99,898.657,0.7273,0.71215,1.02819,0.98814,1,0.995,0.65007,1.22294,0.67677,1.32898,0.000504723,0.000504723,0.000504723
100,907.305,0.77274,0.66833,1.0564,0.98361,1,0.995,0.66279,1.22728,0.69079,1.33141,0.000495291,0.000495291,0.000495291
101,917.77,0.76623,0.62911,1.04198,0.97387,1,0.995,0.65437,1.20707,0.69503,1.29749,0.00048586,0.00048586,0.00048586
102,927.677,0.76652,0.71241,1.06719,0.97013,1,0.995,0.65029,1.21996,0.72136,1.30351,0.000476429,0.000476429,0.000476429
103,941.623,0.78891,0.74331,1.07152,0.97855,1,0.995,0.65722,1.19263,0.7037,1.29417,0.000466997,0.000466997,0.000466997
104,952.179,0.76426,0.66345,1.04279,0.98441,1,0.995,0.65654,1.21394,0.72914,1.29843,0.000457566,0.000457566,0.000457566
105,963.128,0.70453,0.63162,1.0428,0.98862,1,0.995,0.65025,1.2019,0.7236,1.31202,0.000448134,0.000448134,0.000448134
106,973.024,0.79412,0.68709,1.07192,0.98871,1,0.995,0.66757,1.16914,0.69961,1.29191,0.000438703,0.000438703,0.000438703
107,982.682,0.70409,0.76727,1.05472,0.98753,1,0.995,0.72631,1.07451,0.67945,1.18298,0.000429272,0.000429272,0.000429272
108,993.006,0.73699,0.67039,1.04711,0.98789,1,0.995,0.71585,1.09304,0.67011,1.17109,0.00041984,0.00041984,0.00041984
109,1002.59,0.71335,0.63295,1.02348,0.98588,1,0.995,0.70626,1.11082,0.64657,1.186,0.000410409,0.000410409,0.000410409
110,1015.51,0.76041,0.69273,1.07125,0.98402,1,0.995,0.71871,1.10658,0.63864,1.19498,0.000400977,0.000400977,0.000400977
111,1025.55,0.71397,0.67187,1.02113,0.98367,1,0.995,0.70093,1.14829,0.66468,1.21186,0.000391546,0.000391546,0.000391546
112,1034.94,0.63152,0.5857,0.99301,0.98697,1,0.995,0.6775,1.14842,0.6592,1.20499,0.000382115,0.000382115,0.000382115
113,1044.18,0.72551,0.69246,1.04854,0.98612,1,0.995,0.69451,1.14379,0.6084,1.20193,0.000372683,0.000372683,0.000372683
114,1052.77,0.71833,0.63491,1.03109,0.98492,1,0.995,0.69383,1.16288,0.60521,1.22298,0.000363252,0.000363252,0.000363252
115,1062.69,0.7046,0.81381,0.97999,0.98377,1,0.995,0.71033,1.13815,0.60511,1.2209,0.00035382,0.00035382,0.00035382
116,1071.61,0.68769,0.65099,1.01584,0.98512,1,0.995,0.68149,1.09878,0.62281,1.20224,0.000344389,0.000344389,0.000344389
117,1081.26,0.70329,0.61805,1.04546,0.98369,1,0.995,0.71049,1.08509,0.62155,1.18831,0.000334958,0.000334958,0.000334958
118,1090.74,0.65803,0.67783,1.00008,0.98157,1,0.995,0.71049,1.09425,0.63402,1.19669,0.000325526,0.000325526,0.000325526
119,1100.3,0.70577,0.71614,1.01683,0.97851,1,0.995,0.71201,1.10591,0.621,1.2027,0.000316095,0.000316095,0.000316095
120,1109.6,0.77996,0.72897,1.04728,0.9772,1,0.995,0.71763,1.09881,0.61606,1.20354,0.000306663,0.000306663,0.000306663
121,1118.85,0.72396,0.65718,1.04157,0.97806,1,0.995,0.70938,1.09228,0.60874,1.20537,0.000297232,0.000297232,0.000297232
122,1128.72,0.66403,0.64598,1.00494,0.97989,1,0.995,0.7121,1.09256,0.62174,1.20168,0.000287801,0.000287801,0.000287801
123,1136.93,0.73792,0.66027,1.03484,0.98788,1,0.995,0.7266,1.06812,0.61784,1.19414,0.000278369,0.000278369,0.000278369
124,1145.61,0.69063,0.6551,1.02925,0.98935,1,0.995,0.72864,1.06581,0.6231,1.19747,0.000268938,0.000268938,0.000268938
125,1154.99,0.67174,0.61138,1.00513,0.98893,1,0.995,0.70575,1.11245,0.63188,1.22733,0.000259506,0.000259506,0.000259506
126,1164.22,0.64526,0.6672,0.9949,0.98817,1,0.995,0.70575,1.13893,0.64162,1.25655,0.000250075,0.000250075,0.000250075
127,1175.44,0.70334,0.6789,1.10344,0.98606,1,0.995,0.68432,1.19062,0.65416,1.3118,0.000240644,0.000240644,0.000240644
128,1185.35,0.6325,0.57173,0.98517,0.98509,1,0.995,0.67746,1.20366,0.66056,1.32436,0.000231212,0.000231212,0.000231212
129,1194.43,0.56835,0.53731,0.97803,0.98292,1,0.995,0.69196,1.17471,0.65113,1.29673,0.000221781,0.000221781,0.000221781
130,1202.88,0.59522,0.66892,0.95795,0.982,1,0.995,0.68779,1.14944,0.63509,1.27217,0.000212349,0.000212349,0.000212349
131,1213.31,0.70276,0.6419,1.0272,0.98296,1,0.995,0.68015,1.13843,0.60329,1.25208,0.000202918,0.000202918,0.000202918
132,1222.28,0.59715,0.58335,0.97421,0.98353,1,0.995,0.69526,1.13907,0.59439,1.24901,0.000193487,0.000193487,0.000193487
133,1230.78,0.68189,0.57746,1.00931,0.98413,1,0.995,0.70556,1.13325,0.59856,1.25748,0.000184055,0.000184055,0.000184055
134,1239.37,0.6566,0.56813,0.99078,0.9825,1,0.995,0.71042,1.11315,0.60415,1.26662,0.000174624,0.000174624,0.000174624
135,1248.67,0.54888,0.59492,0.9424,0.97697,1,0.995,0.73119,1.09658,0.59339,1.26792,0.000165192,0.000165192,0.000165192
136,1258.02,0.68454,0.57813,1.01628,0.97833,1,0.995,0.72356,1.09539,0.59776,1.26877,0.000155761,0.000155761,0.000155761
137,1266.93,0.62527,0.57846,0.95931,0.97807,1,0.995,0.73536,1.08402,0.59602,1.24918,0.00014633,0.00014633,0.00014633
138,1275.88,0.58387,0.59417,0.99805,0.98437,1,0.995,0.72772,1.07668,0.58581,1.23586,0.000136898,0.000136898,0.000136898
139,1285.06,0.62089,0.57296,0.99027,0.98673,1,0.995,0.73071,1.07141,0.59072,1.22247,0.000127467,0.000127467,0.000127467
140,1294.27,0.65434,0.60342,1.00852,0.98689,1,0.995,0.70576,1.08012,0.59769,1.22072,0.000118035,0.000118035,0.000118035
141,1303.11,0.48967,0.67227,0.83938,0.98752,1,0.995,0.68642,1.11106,0.60654,1.24694,0.000108604,0.000108604,0.000108604
142,1311.69,0.44244,0.64931,0.79671,0.98734,1,0.995,0.70143,1.13018,0.61943,1.26209,9.91726e-05,9.91726e-05,9.91726e-05
143,1320.18,0.48826,0.59372,0.87515,0.98615,1,0.995,0.70429,1.16357,0.6302,1.29002,8.97412e-05,8.97412e-05,8.97412e-05
