epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1463.95,0.78491,0.60373,1.06016,0.99121,0.9697,0.9925,0.74782,0.80314,0.49852,1.05234,0.000665057,0.000665057,0.000665057
56,1490.22,0.813,0.59418,1.07,0.9869,0.98206,0.995,0.80359,0.73587,0.43379,1.03688,0.000650909,0.000650909,0.000650909
57,1515.27,0.76479,0.58667,1.05121,0.98798,0.98672,0.995,0.79062,0.77473,0.41915,1.04208,0.000636762,0.000636762,0.000636762
58,1539.15,0.80836,0.58694,1.06047,0.99073,0.97918,0.995,0.74205,0.78125,0.45119,1.09702,0.000622615,0.000622615,0.000622615
59,1564.64,0.83621,0.61514,1.09462,0.99228,0.97169,0.995,0.74228,1.08831,0.47441,1.17919,0.000608468,0.000608468,0.000608468
60,1590.85,0.80029,0.5757,1.05745,0.99266,0.97276,0.995,0.78684,1.07814,0.48399,1.21047,0.000594321,0.000594321,0.000594321
61,1618.52,0.78397,0.57028,1.05837,0.99551,0.97257,0.995,0.79573,0.90535,0.50092,1.13894,0.000580174,0.000580174,0.000580174
62,1642.98,0.79287,0.60403,1.08015,0.99413,0.97364,0.995,0.76316,0.93876,0.46716,1.11899,0.000566027,0.000566027,0.000566027
63,1668.46,0.78927,0.56478,1.06088,0.99296,1,0.995,0.76377,0.98347,0.46468,1.1709,0.00055188,0.00055188,0.00055188
64,1695.59,0.75657,0.57108,1.05457,0.98927,1,0.995,0.76841,0.78179,0.43821,1.0555,0.000537733,0.000537733,0.000537733
65,1721.3,0.76127,0.55591,1.04525,0.98983,0.98131,0.995,0.75456,0.83001,0.45366,1.06524,0.000523586,0.000523586,0.000523586
66,1748.06,0.80504,0.61719,1.07938,0.99194,0.97686,0.995,0.76638,0.83289,0.45521,1.07112,0.000509438,0.000509438,0.000509438
67,1772.58,0.7666,0.57879,1.06215,0.9844,1,0.995,0.78694,0.88116,0.46808,1.09355,0.000495291,0.000495291,0.000495291
68,1796.76,0.75505,0.57146,1.04118,0.98998,1,0.995,0.76032,1.00328,0.47615,1.15958,0.000481144,0.000481144,0.000481144
69,1822.78,0.7494,0.56257,1.04803,0.98973,1,0.995,0.77055,1.10559,0.48736,1.31935,0.000466997,0.000466997,0.000466997
70,1847.28,0.72622,0.53745,1.04509,0.99115,1,0.995,0.76864,1.06207,0.47649,1.27886,0.00045285,0.00045285,0.00045285
71,1871.44,0.74858,0.53962,1.03746,0.99284,1,0.995,0.76072,1.02673,0.51001,1.20815,0.000438703,0.000438703,0.000438703
72,1896.3,0.72676,0.52505,1.02613,0.98698,1,0.995,0.76157,0.86452,0.46677,1.10045,0.000424556,0.000424556,0.000424556
73,1921.11,0.74386,0.53951,1.03683,0.9866,1,0.995,0.76757,0.97152,0.44312,1.16882,0.000410409,0.000410409,0.000410409
74,1946.59,0.72449,0.5315,1.02733,0.98953,0.99737,0.995,0.78157,0.97637,0.47521,1.15829,0.000396262,0.000396262,0.000396262
75,1972.49,0.75421,0.55207,1.05111,0.98629,0.99751,0.995,0.7818,1.04051,0.47352,1.21185,0.000382115,0.000382115,0.000382115
76,1997.62,0.7091,0.52006,1.02814,0.99479,1,0.995,0.78073,1.09794,0.44322,1.26012,0.000367967,0.000367967,0.000367967
